#          r            f            d         rho1         rho2         mass
 3.90625e-03  1.32948e-01  3.36159e+01  4.20009e+01  2.09617e+01  1.58961e-05
 4.07919e-03  1.38756e-01  3.35563e+01  4.19194e+01  2.09024e+01  1.80731e-05
 4.25980e-03  1.44811e-01  3.34909e+01  4.18333e+01  2.08439e+01  2.05513e-05
 4.44839e-03  1.51120e-01  3.34194e+01  4.17421e+01  2.07754e+01  2.33609e-05
 4.64534e-03  1.57694e-01  3.33410e+01  4.16456e+01  2.07085e+01  2.65601e-05
 4.85101e-03  1.64543e-01  3.32552e+01  4.15435e+01  2.06300e+01  3.01851e-05
 5.06578e-03  1.71675e-01  3.31614e+01  4.14353e+01  2.05485e+01  3.43049e-05
 5.29006e-03  1.79101e-01  3.30588e+01  4.13208e+01  2.04615e+01  3.89834e-05
 5.52427e-03  1.86831e-01  3.29467e+01  4.11994e+01  2.03664e+01  4.42906e-05
 5.76885e-03  1.94874e-01  3.28241e+01  4.10707e+01  2.02651e+01  5.03150e-05
 6.02426e-03  2.03241e-01  3.26904e+01  4.09342e+01  2.01555e+01  5.71482e-05
 6.29098e-03  2.11941e-01  3.25444e+01  4.07896e+01  2.00364e+01  6.48939e-05
 6.56950e-03  2.20983e-01  3.23853e+01  4.06361e+01  1.99084e+01  7.36754e-05
 6.86036e-03  2.30377e-01  3.22118e+01  4.04732e+01  1.97709e+01  8.36287e-05
 7.16409e-03  2.40133e-01  3.20231e+01  4.03004e+01  1.96241e+01  9.49097e-05
 7.48128e-03  2.50258e-01  3.18177e+01  4.01171e+01  1.94655e+01  1.07682e-04
 7.81250e-03  2.60760e-01  3.15946e+01  3.99224e+01  1.92949e+01  1.22141e-04
 8.15839e-03  2.71646e-01  3.13524e+01  3.97159e+01  1.91124e+01  1.38505e-04
 8.51959e-03  2.82924e-01  3.10898e+01  3.94967e+01  1.89158e+01  1.57008e-04
 8.89679e-03  2.94597e-01  3.08055e+01  3.92641e+01  1.87055e+01  1.77929e-04
 9.29068e-03  3.06671e-01  3.04980e+01  3.90172e+01  1.84797e+01  2.01558e-04
 9.70201e-03  3.19148e-01  3.01660e+01  3.87554e+01  1.82394e+01  2.28254e-04
 1.01316e-02  3.32029e-01  2.98081e+01  3.84778e+01  1.79816e+01  2.58365e-04
